Date, Mean TemperatureF, Mean Humidity, Mean Wind SpeedMPH, Events
2014-5-1,8,6,1,0
2014-5-2,7,6,1,0
2014-5-3,7,9,2,0
2014-5-4,7,8,1,0
2014-5-5,7,7,1,1
2014-5-6,7,7,1,1
2014-5-7,7,7,1,0
2014-5-8,7,7,2,0
2014-5-9,7,9,2,0
2014-5-10,7,7,2,0
2014-5-11,7,2,3,0
2014-5-12,7,4,1,0
2014-5-13,8,4,1,0
2014-5-14,8,4,1,0
2014-5-15,8,3,1,0
2014-5-16,8,2,1,0
2014-5-17,7,7,1,0
2014-5-18,7,6,2,0
2014-5-19,7,7,2,0
2014-5-20,7,8,1,1
2014-5-21,7,7,1,0
2014-5-22,8,7,1,0
2014-5-23,8,8,1,0
2014-5-24,8,6,1,0
2014-5-25,8,6,1,0
2014-5-26,8,4,1,0
2014-5-27,8,4,1,0
2014-5-28,7,3,2,0
2014-5-29,8,1,2,0
2014-5-30,7,4,2,0
2014-5-31,7,6,1,0
2014-6-1,8,5,1,0
2014-6-2,7,6,2,0
2014-6-3,7,7,2,0
2014-6-4,8,7,1,0
2014-6-5,8,5,1,0
2014-6-6,8,7,1,0
2014-6-7,8,7,1,0
2014-6-8,9,4,1,0
2014-6-9,9,4,1,0
2014-6-10,9,5,1,0
2014-6-11,7,8,2,0
2014-6-12,7,7,3,0
2014-6-13,8,5,1,0
2014-6-14,8,5,1,0
2014-6-15,8,5,2,0
2014-6-16,7,6,2,0
2014-6-17,7,5,2,0
2014-6-18,8,3,2,0
2014-6-19,8,3,1,0
2014-6-20,8,5,1,0
2014-6-21,8,4,1,0
2014-6-22,8,6,1,0
2014-6-23,8,6,1,0
2014-6-24,8,4,1,0
2014-6-25,8,8,2,0
2014-6-26,8,8,2,0
2014-6-27,8,7,1,0
2014-6-28,8,6,1,0
2014-6-29,8,5,1,0
2014-6-30,9,5,1,0
2014-7-1,8,5,2,0
2014-7-2,8,7,2,0
2014-7-3,8,6,2,0
2014-7-4,8,5,2,0
2014-7-5,8,4,1,0
2014-7-6,8,4,1,0
2014-7-7,8,5,1,0
2014-7-8,9,5,1,0
2014-7-9,8,7,2,0
2014-7-10,8,7,2,0
2014-7-11,8,7,2,0
2014-7-12,8,7,1,0
2014-7-13,8,6,1,0
2014-7-14,9,5,1,0
2014-7-15,9,5,2,0
2014-7-16,8,7,2,0
2014-7-17,8,9,2,0
2014-7-18,8,8,2,0
2014-7-19,8,7,1,0
2014-7-20,8,7,2,1
2014-7-21,8,8,2,1
2014-7-22,8,7,2,0
2014-7-23,8,8,1,0
2014-7-24,8,6,1,0
2014-7-25,9,4,1,0
2014-7-26,9,3,1,0
2014-7-27,9,2,1,0
2014-7-28,8,4,1,0
2014-7-29,8,5,1,0
2014-7-30,9,5,1,0
2014-7-31,9,5,1,0
2014-8-1,9,4,1,0
2014-8-2,8,6,1,0
2014-8-3,8,9,2,0
2014-8-4,7,9,2,0
2014-8-5,8,10,1,1
2014-8-6,9,8,1,1
2014-8-7,8,7,1,0
2014-8-8,8,7,2,0
2014-8-9,8,6,2,0
2014-8-10,8,7,2,0
2014-8-11,8,6,1,0
2014-8-12,8,9,2,0
2014-8-13,8,7,2,0
2014-8-14,8,6,1,0
2014-8-15,8,6,1,0
2014-8-16,8,5,1,0
2014-8-17,8,5,1,0
2014-8-18,8,8,1,0
2014-8-19,8,8,2,0
2014-8-20,7,9,2,0
2014-8-21,8,8,1,0
2014-8-22,8,8,2,0
2014-8-23,8,7,1,0
2014-8-24,8,7,2,0
2014-8-25,8,8,2,0
2014-8-26,8,3,1,0
2014-8-27,8,5,1,0
2014-8-28,8,5,1,0
2014-8-29,8,8,1,0
2014-8-30,8,4,1,0
2014-8-31,8,5,1,0
2014-9-1,9,5,1,0
2014-9-2,8,5,2,0
2014-9-3,8,7,1,0
2014-9-4,8,6,1,0
2014-9-5,8,7,1,0
2014-9-6,8,6,1,0
2014-9-7,8,5,1,0
2014-9-8,7,7,2,0
2014-9-9,8,7,1,0
2014-9-10,8,6,1,0
2014-9-11,8,5,1,0
2014-9-12,9,3,1,0
2014-9-13,9,4,1,0
2014-9-14,8,5,1,0
2014-9-15,8,4,1,0
2014-9-16,8,5,1,0
2014-9-17,8,6,1,0
2014-9-18,8,8,1,0
2014-9-19,8,8,1,0
2014-9-20,8,8,1,0
2014-9-21,8,8,2,0
2014-9-22,8,8,1,0
2014-9-23,8,7,1,0
2014-9-24,8,9,1,0
2014-9-25,7,10,1,1
2014-9-26,7,8,1,0
2014-9-27,7,8,1,1
2014-9-28,7,9,1,1
2014-9-29,7,9,1,0
2014-9-30,8,8,1,0
2014-10-1,8,2,3,0
2014-10-2,8,5,1,0
2014-10-3,8,5,1,0
2014-10-4,8,5,1,0
2014-10-5,8,5,1,0
2014-10-6,8,5,1,0
2014-10-7,8,5,1,0
2014-10-8,8,5,1,0
2014-10-9,8,6,1,0
2014-10-10,8,7,1,0
2014-10-11,8,7,1,0
2014-10-12,8,4,2,0
2014-10-13,8,4,1,0
2014-10-14,7,9,2,0
2014-10-15,7,10,1,1
2014-10-16,7,9,1,0
2014-10-17,7,9,1,0
2014-10-18,7,7,1,0
2014-10-19,7,8,1,0
2014-10-20,7,9,2,0
2014-10-21,7,8,1,0
2014-10-22,7,7,1,0
2014-10-23,7,8,1,0
2014-10-24,7,10,1,1
2014-10-25,7,9,2,1
2014-10-26,6,8,1,1
2014-10-27,6,7,1,0
2014-10-28,7,7,1,0
2014-10-29,7,7,1,0
2014-10-30,7,7,1,0
2014-10-31,7,10,1,1
2014-11-1,6,8,1,1
2014-11-2,6,8,1,0
2014-11-3,6,7,1,0
2014-11-4,6,8,1,0
2014-11-5,6,8,1,0
2014-11-6,7,9,1,0
2014-11-7,7,9,1,0
2014-11-8,7,9,1,0
2014-11-9,7,9,1,0
2014-11-10,7,9,1,0
2014-11-11,6,10,1,0
2014-11-12,6,10,1,0
2014-11-13,6,10,1,1
2014-11-14,6,10,1,1
2014-11-15,6,10,1,1
2014-11-16,6,7,2,0
2014-11-17,6,7,1,0
2014-11-18,6,8,1,0
2014-11-19,6,10,1,1
2014-11-20,6,10,1,1
2014-11-21,6,10,1,0
2014-11-22,6,10,2,1
2014-11-23,6,10,2,1
2014-11-24,6,9,1,1
2014-11-25,6,9,1,0
2014-11-26,6,10,1,0
2014-11-27,6,9,1,1
2014-11-28,6,10,1,1
2014-11-29,6,10,1,1
2014-11-30,6,10,1,1
2014-12-1,6,10,1,1
2014-12-2,6,10,1,1
2014-12-3,7,10,2,1
2014-12-4,7,10,1,0
2014-12-5,7,10,1,1
2014-12-6,7,10,1,1
2014-12-7,6,10,1,1
2014-12-8,6,10,1,1
2014-12-9,6,10,1,1
2014-12-10,6,10,1,1
2014-12-11,6,10,2,1
2014-12-12,5,10,1,1
2014-12-13,6,10,1,1
2014-12-14,5,10,1,1
2014-12-15,6,10,2,1
2014-12-16,6,10,2,1
2014-12-17,6,10,1,1
2014-12-18,6,10,1,0
2014-12-19,6,10,1,1
2014-12-20,6,10,1,1
2014-12-21,7,10,1,0
2014-12-22,6,10,1,1
2014-12-23,6,10,1,1
2014-12-24,6,10,1,1
2014-12-25,6,6,3,0
2014-12-26,5,6,3,0
2014-12-27,5,10,1,0
2014-12-28,5,9,1,0
2014-12-29,5,10,1,0
2014-12-30,5,6,2,0
2014-12-31,5,5,3,0
2015-1-1,4,8,1,0
2015-1-2,5,10,1,0
2015-1-3,5,9,1,0
2015-1-4,5,9,1,0
2015-1-5,5,9,1,0
2015-1-6,5,10,1,0
2015-1-7,6,10,1,1
2015-1-8,6,10,1,1
2015-1-9,5,10,1,1
2015-1-10,6,10,1,1
2015-1-11,6,10,1,1
2015-1-12,6,10,1,1
2015-1-13,5,10,1,1
2015-1-14,5,10,1,1
2015-1-15,5,10,1,1
2015-1-16,5,10,1,1
2015-1-17,5,10,1,0
2015-1-18,5,10,1,1
2015-1-19,6,10,1,1
2015-1-20,5,10,1,1
2015-1-21,5,10,1,1
2015-1-22,5,10,1,1
2015-1-23,5,10,1,1
2015-1-24,5,10,1,1
2015-1-25,6,10,1,1
2015-1-26,6,9,1,0
2015-1-27,6,10,1,0
2015-1-28,6,9,1,0
2015-1-29,6,10,1,0
2015-1-30,6,10,1,1
2015-1-31,6,6,2,0
2015-2-1,6,9,1,0
2015-2-2,6,10,1,1
2015-2-3,6,10,1,1
2015-2-4,6,10,1,1
2015-2-5,6,10,1,0
2015-2-6,6,9,2,1
2015-2-7,7,10,2,1
2015-2-8,7,10,2,1
2015-2-9,6,10,2,1
2015-2-10,6,10,1,0
2015-2-11,6,10,1,0
2015-2-12,6,9,1,1
2015-2-13,6,9,1,1
2015-2-14,6,10,1,1
2015-2-15,6,10,1,1
2015-2-16,6,9,1,1
2015-2-17,6,10,1,0
2015-2-18,6,10,1,1
2015-2-19,6,10,1,1
2015-2-20,6,10,1,0
2015-2-21,6,10,1,1
2015-2-22,6,7,1,0
2015-2-23,6,3,3,0
2015-2-24,5,5,1,0
