
CST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2015-1-1,41,32,22,30,24,18,88,66,44,30.43,30.35,30.30,10,9,6,8,2,14,0.00,7,,198<br />
2015-1-2,44,41,38,43,38,30,100,85,70,30.38,30.27,30.15,10,6,1,8,2,10,0.08,8,Rain,96<br />
2015-1-3,63,54,44,59,54,43,100,92,84,30.14,29.99,29.84,10,7,1,25,11,32,0.58,8,Rain,172<br />
2015-1-4,63,46,28,59,38,20,90,76,61,30.56,30.18,29.83,10,10,5,21,11,30,0.04,7,Rain,289<br />
2015-1-5,33,27,20,19,13,8,71,54,36,30.73,30.59,30.37,10,10,10,16,7,20,0.00,2,,359<br />
2015-1-6,43,33,23,22,20,16,74,59,43,30.40,30.37,30.33,10,10,10,15,7,20,0.00,3,,304<br />
2015-1-7,27,17,7,19,7,-5,75,59,43,30.87,30.61,30.36,10,9,1,25,13,35,T,5,Snow,343<br />
2015-1-8,30,17,4,5,0,-4,79,54,29,30.83,30.53,30.29,10,10,10,22,9,28,0.00,4,,192<br />
2015-1-9,35,26,17,13,6,0,56,41,25,30.59,30.43,30.31,10,10,10,16,8,24,0.00,3,,304<br />
2015-1-10,36,23,10,16,6,2,76,50,23,30.65,30.56,30.47,10,10,10,9,3,13,0.00,2,,100<br />
2015-1-11,44,36,27,40,27,11,79,60,40,30.50,30.39,30.26,10,10,9,8,2,13,0.02,8,Rain,143<br />
2015-1-12,47,41,34,46,42,32,100,93,85,30.40,30.24,30.17,10,3,0,21,7,25,0.94,8,Fog-Rain,19<br />
2015-1-13,34,32,29,32,27,26,96,86,75,30.49,30.42,30.38,10,8,4,18,11,28,0.00,8,,12<br />
2015-1-14,38,33,27,27,24,21,92,72,52,30.41,30.35,30.26,10,8,2,8,4,20,T,6,Snow,11<br />
2015-1-15,40,34,27,28,26,24,92,73,54,30.29,30.24,30.20,10,9,6,8,1,13,0.00,7,,222<br />
2015-1-16,55,39,23,29,26,22,92,64,35,30.30,30.24,30.19,10,9,7,8,3,17,0.00,0,Fog,176<br />
2015-1-17,59,44,28,31,28,25,85,57,28,30.19,30.08,29.95,10,10,8,23,10,30,0.00,1,,185<br />
2015-1-18,60,48,36,35,26,19,67,44,21,30.12,30.06,29.93,10,10,10,20,8,30,T,2,,246<br />
2015-1-19,67,50,33,31,27,23,75,48,20,30.09,29.99,29.91,10,10,10,13,5,22,0.00,3,,196<br />
2015-1-20,64,53,41,35,33,30,70,52,34,30.04,29.96,29.90,10,10,10,13,5,18,0.00,5,,279<br />
2015-1-21,59,46,32,36,29,22,89,57,25,30.28,30.17,30.06,10,10,10,13,4,20,0.00,3,,302<br />
2015-1-22,45,39,33,30,29,28,82,68,53,30.42,30.37,30.29,10,10,10,12,6,15,0.00,7,,16<br />
2015-1-23,38,36,33,36,33,28,100,85,70,30.29,30.06,29.92,10,4,1,14,8,21,0.44,8,Rain-Snow,6<br />
2015-1-24,50,39,28,34,31,26,100,75,50,29.98,29.92,29.88,10,7,2,14,7,20,0.04,3,Rain-Snow,264<br />
2015-1-25,57,44,31,43,37,29,92,70,47,29.89,29.74,29.63,10,10,4,23,10,28,0.07,7,Rain,230<br />
2015-1-26,44,39,33,39,31,27,92,84,75,30.03,29.94,29.75,10,10,7,22,9,31,0.01,8,Snow,325<br />
2015-1-27,42,37,32,33,31,28,89,77,64,30.26,30.10,29.91,10,9,7,15,7,21,0.00,8,,344<br />
2015-1-28,51,41,30,28,25,19,82,57,32,30.37,30.26,30.14,10,10,10,13,7,16,0.00,5,,114<br />
2015-1-29,67,54,40,43,34,27,70,55,39,30.34,30.14,30.00,10,10,8,26,15,35,T,7,,267<br />
2015-1-30,47,39,31,30,23,19,70,54,37,30.50,30.43,30.34,10,10,10,22,9,31,0.00,5,,347<br />
2015-1-31,47,35,23,25,20,12,88,57,25,30.43,30.34,30.17,10,10,9,9,3,10,0.00,6,,122<br />
